一區平均每日交通量調查資料表(總表2)
縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
桃園市,Ⅰ-I53,新興,5,600,121.0996501,25.0007064,台66線,大潭,北勢,0,0,10,800,平原區,10.8,21.8,東,3.6,3.6,,,,,,2.6,4279,29,525,18,520,36,5407,6747,58396,830,17,18,0.57,
桃園市,Ⅰ-I53,新興,5,600,121.0996501,25.0007064,台66線,大潭,北勢,0,0,10,800,平原區,10.8,21.8,西,3.6,3.6,,,,,,2.6,4450,32,559,23,559,44,5667,7109,61204,1088,7,8,0.57,
桃園市,Ⅰ-I53側車道,新興,5,600,121.1005128,25.00004623,台66線,大潭,北勢,0,0,10,800,平原區,10.8,32.2,東,3.7,3.9,5.1,,,,,3.2,2981,20,536,54,327,374,4292,5182,46354,516,17,18,0.69,側車道3車道
桃園市,Ⅰ-I53側車道,新興,5,600,121.1005128,25.00004623,台66線,大潭,北勢,0,0,10,800,平原區,10.8,32.2,西,4.4,4.4,4.6,,,,,1.9,847,27,110,4,56,297,1341,1411,14483,228,7,8,0.69,側車道3車道
桃園市,Ⅰ-I54,高榮,15,600,121.1673427,24.946448,台66線,北勢,平鎮系統,10,800,17,738,平原區,6.9,21.8,東,3.8,3.8,,,,,,2.6,23744,86,2930,140,1529,62,28491,33312,196588,2816,16,17,0.52,
桃園市,Ⅰ-I54,高榮,15,600,121.1673427,24.946448,台66線,北勢,平鎮系統,10,800,17,738,平原區,6.9,21.8,西,3.8,3.8,,,,,,2.6,23418,90,3158,146,1517,74,28403,33323,195981,3077,7,8,0.52,
桃園市,Ⅰ-I54側車道,高榮,15,600,121.1674191,24.94639381,台66線,北勢,平鎮系統,10,800,17,738,平原區,6.9,14.7,東,3.5,3.4,,,,,,0.1,6916,35,639,13,248,1729,9580,9748,66102,1462,17,18,0.53,側車道2車道
桃園市,Ⅰ-I54側車道,高榮,15,600,121.1674191,24.94639381,台66線,北勢,平鎮系統,10,800,17,738,平原區,6.9,14.7,西,3.5,3.4,,,,,,0.1,7570,40,718,16,232,1972,10548,10634,72781,1291,7,8,0.53,側車道2車道
桃園市,Ⅰ-I55,宋屋,19,0,121.1979774,24.9320522,台66線,平鎮系統,南勢,17,738,20,700,平原區,3,21.8,東,3.8,3.8,,,,,,1.5,31011,107,3270,68,968,57,35481,39219,106443,3263,16,17,0.5,
桃園市,Ⅰ-I55,宋屋,19,0,121.1979774,24.9320522,台66線,平鎮系統,南勢,17,738,20,700,平原區,3,21.8,西,3.8,3.8,,,,,,1.5,32489,229,3488,69,1031,203,37509,41487,112527,3224,6,7,0.5,
桃園市,Ⅰ-I55側車道,宋屋,19,500,121.2032428,24.92957518,台66線,平鎮系統,南勢,17,738,20,700,平原區,3,20.6,東,3.6,3.6,,,,2.4,,0.3,5994,46,387,4,54,2426,8911,8516,26733,1105,17,18,0.51,側車道2車道
桃園市,Ⅰ-I55側車道,宋屋,19,500,121.2032428,24.92957518,台66線,平鎮系統,南勢,17,738,20,700,平原區,3,20.6,西,3.6,3.6,,,,2.4,,0.3,6106,48,460,5,60,2279,8958,8658,26874,1057,7,8,0.51,側車道2車道
桃園市,Ⅰ-I56,東勢,23,500,121.2295047,24.908135,台66線,南勢,東勢,20,700,23,600,平原區,2.9,21.8,東,3.8,3.8,,,,,,2.6,14886,84,1378,34,435,46,16863,18514,48903,1492,16,17,0.51,
桃園市,Ⅰ-I56,東勢,23,500,121.2295047,24.908135,台66線,南勢,東勢,20,700,23,600,平原區,2.9,21.8,西,3.8,3.8,,,,,,2.6,14827,152,1351,36,446,99,16911,18587,49042,1458,7,8,0.51,
桃園市,Ⅰ-I56側車道,東勢,23,600,121.2309083,24.90623557,台66線,南勢,東勢,20,700,23,600,平原區,2.9,37.7,東,3.5,3.5,3.5,3.5,,3.3,,1.2,8890,45,856,7,381,1735,11914,12621,34551,1512,7,8,0.51,側車道5車道
