"","縣市別","調查站_編號","調查站_地點","調查站_樁號_K","調查站_樁號_百位數","調查站_座標_經度","調查站_座標_緯度","路線編號","起迄地名_起點","起迄地名_迄點","起點樁號_K","起點樁號_百位數","迄點樁號_K","迄點樁號_百位數","地形","里程(公里)","路面寬度(公尺)","方向(往)","車道佈設_快車道寬度(公尺)_1","車道佈設_快車道寬度(公尺)_2","車道佈設_快車道寬度(公尺)_3","車道佈設_快車道寬度(公尺)_4","車道佈設_快車道寬度(公尺)_5","車道佈設_機慢車道寬度(公尺)_1","車道佈設_機慢車道寬度(公尺)_2","車道佈設_路肩寬度(公尺)","各車種車輛數(輛/日)_小型車","各車種車輛數(輛/日)_大客車","各車種車輛數(輛/日)_大貨車","各車種車輛數(輛/日)_全聯結車","各車種車輛數(輛/日)_半聯結車","各車種車輛數(輛/日)_機車","各車種車輛數(輛/日)_合計","總計_流量(PCU)","總計_車公里","尖峰小時_交通量(PCU)","尖峰小時_時段_起","尖峰小時_時段_迄","方向係數","備註"
"292","嘉義縣","V-I46","頂六",21,750,"E120.49472","N23.44583","台18線","大義路","頂六",20,500,21,750,"平原區",1.2,18.2,"西",3.4,3.4,NA,NA,NA,NA,NA,2.3,11460,164,195,5,129,3376,15329,14427,19928,1515,15,16,0.54,"日"
"293","台南市","V-I47","西寮里(南２５－１上方)",296,100,"E120.09211","N23.17529","台61線","將軍交流道","七股交流道",292,400,298,300,"平原區",5.9,18,"北",3.5,3.5,NA,NA,NA,NA,NA,2,1960,10,51,0,49,98,2168,2258,12791,343,12,13,0.55,"日"
"294","台南市","V-I47","西寮里(南２５－１上方)",296,100,"E120.09211","N23.17529","台61線","將軍交流道","七股交流道",292,400,298,300,"平原區",5.9,18,"南",3.5,3.5,NA,NA,NA,NA,NA,2,2206,8,77,1,46,133,2471,2555,14579,422,17,18,0.55,"日"
"295","台南市","V-I48","三股里(南３８上方)",304,200,"E120.08631","N23.10283","台61線","七股交流道","十份交流道",298,300,305,0,"平原區",6.7,18,"北",3.5,3.5,NA,NA,NA,NA,NA,2,1802,9,71,1,53,105,2041,2148,13675,314,16,17,0.57,"日"
"296","台南市","V-I48","三股里(南３８上方)",304,200,"E120.08631","N23.10283","台61線","七股交流道","十份交流道",298,300,305,0,"平原區",6.7,18,"南",3.5,3.5,NA,NA,NA,NA,NA,2,2173,13,70,2,45,141,2444,2524,16375,418,18,19,0.57,"日"
"297","台南市","V-I49","鯤鯓橋",141,374,"E120.13","N23.283","台17線","嘉南縣界","溪底寮",137,770,144,568,"平原區",6.8,17.6,"北",3.5,4,NA,NA,NA,NA,NA,1.3,3133,56,65,0,17,1290,4561,4140,31015,672,17,18,0.57,"日"
"298","台南市","V-I49","鯤鯓橋",141,374,"E120.13","N23.283","台17線","嘉南縣界","溪底寮",137,770,144,568,"平原區",6.8,17.6,"南",3.5,4,NA,NA,NA,NA,NA,1.3,2599,60,74,1,24,1024,3782,3489,25718,512,10,11,0.57,"日"
"299","台南市","V-I50","北門交流道",1,200,"E120.13849","N23.27456","台84線","起點","學甲交流道",0,0,8,640,"平原區",8.6,18.6,"東",3.5,3.5,NA,NA,NA,NA,NA,2.3,6519,100,398,59,1021,74,8171,10550,70271,819,18,19,0.58,"日"
"300","台南市","V-I50","北門交流道",1,200,"E120.13849","N23.27456","台84線","起點","學甲交流道",0,0,8,640,"平原區",8.6,18.6,"西",3.5,3.5,NA,NA,NA,NA,NA,2.3,6541,122,463,47,866,134,8173,10238,70288,1126,10,11,0.58,"日"
"301","嘉義縣","V-I51","口湖南下出口匝道",245,600,"E120.15306","N23.58823","台61線","口湖南下出口匝道","口湖南下出口匝道",245,600,245,600,"平原區",0,5.2,"北",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10,11,1,"六"
"302","嘉義縣","V-I51","口湖南下出口匝道",245,600,"E120.15306","N23.58823","台61線","口湖南下出口匝道","口湖南下出口匝道",245,600,245,600,"平原區",0,5.2,"南",3.8,NA,NA,NA,NA,NA,NA,1.4,905,7,44,7,90,56,1109,1326,0,235,10,11,1,"六"
"303","嘉義縣","V-I52","口湖北上出口匝道",247,300,"E120.15160","N23.57456","台61線","口湖北上出口匝道","口湖北上出口匝道",247,300,247,300,"平原區",0,5.2,"北",3.8,NA,NA,NA,NA,NA,NA,1.4,931,12,48,1,27,109,1128,1190,0,190,17,18,1,"日"
"304","嘉義縣","V-I52","口湖北上出口匝道",247,300,"E120.15160","N23.57456","台61線","口湖北上出口匝道","口湖北上出口匝道",247,300,247,300,"平原區",0,5.2,"南",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,17,18,1,"日"
"305","嘉義縣","V-I53","口湖休息站",103,700,"E120.15136","N23.57449","台17線","口湖休息站","口湖休息站",103,700,103,700,"平原區",0,26.9,"北",3.5,3.4,3.2,3.2,NA,NA,NA,0.9,3013,40,112,2,43,980,4190,3964,0,485,15,16,0.76,"日"
"306","嘉義縣","V-I53","口湖休息站",103,700,"E120.15136","N23.57449","台17線","口湖休息站","口湖休息站",103,700,103,700,"平原區",0,26.9,"南",3.3,3.4,3.6,3.2,NA,NA,NA,2.4,2362,46,61,1,55,849,3374,3200,0,1508,8,9,0.76,"日"
