縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
臺中市,Ⅱ-II19,潭子交流道,18,400,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,24.2,東,3.5,3.5,3.5,,,,,1.2,40789,272,2325,10,380,358,44134,46070,172123,3294,17,18,0.57,
臺中市,Ⅱ-II19,潭子交流道,18,400,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,24.2,西,3.5,3.5,3.5,,,,,1.2,40539,239,2384,7,437,383,43989,46036,171557,4366,7,8,0.57,
臺中市,Ⅱ-II19匝道,潭子交流道,18,150,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,東,4,,,,,,,0.4,10409,71,518,1,157,155,11311,12139,44113,878,16,17,,出口匝道
臺中市,Ⅱ-II19匝道,潭子交流道,18,150,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,西,4.3,,,,,,,0.7,11741,75,616,1,155,147,12735,13665,49667,1284,7,8,,入口匝道
臺中市,Ⅱ-II19匝道,潭子交流道,19,430,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,東,4.2,,,,,,,0.4,6026,48,326,3,57,92,6552,7000,25553,598,7,8,,入口匝道
臺中市,Ⅱ-II19匝道,潭子交流道,19,430,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,西,4.5,,,,,,,0.4,7192,57,391,1,69,113,7823,8355,30510,681,7,8,,出口匝道
臺中市,Ⅱ-II19匝道,潭子交流道,20,230,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,東,4.2,,,,,,,0.5,10799,82,640,2,55,3,11581,12416,19688,1054,17,18,,國四入口匝道
臺中市,Ⅱ-II19匝道,潭子交流道,20,230,120.6997074,24.20128354,台74線,潭子交流道,松竹交流道,18,847,22,750,平原區,3.9,10.8,西,4.2,,,,,,,0.5,4297,7,207,0,13,3,4527,4766,7696,434,17,18,,國四入口匝道
臺中市,Ⅱ-II20,松竹交流道,21,880,120.7221514,24.18596171,台74線,松竹交流道,太原交流道,22,750,24,411,平原區,1.7,24.6,東,3.6,3.6,3.6,,,,,1.2,38991,281,2549,9,424,310,42564,44722,72359,3311,17,18,0.59,
臺中市,Ⅱ-II20,松竹交流道,21,880,120.7221514,24.18596171,台74線,松竹交流道,太原交流道,22,750,24,411,平原區,1.7,24.6,西,3.6,3.6,3.6,,,,,1.2,41769,283,2759,6,455,389,45661,47949,77624,4845,7,8,0.59,
