行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,嵐翠里,0.754435107,0.730661696,0.749301025,0.694656489,0.677308024,0.632933105,0.535993062,0.364368845,0.381255687,0.540566038
　板橋區,文聖里,0.752808989,0.722525804,0.74385123,0.72247191,0.665132336,0.623873874,0.493579006,0.335048599,0.339721254,0.594759293
　板橋區,文翠里,0.757591623,0.72848034,0.759394572,0.691520468,0.645489816,0.599706745,0.490118577,0.374623872,0.375504032,0.57470651
　板橋區,青翠里,0.762724551,0.753590325,0.738239757,0.71389271,0.672942817,0.604281768,0.499306519,0.491341991,0.305338542,0.557010786
　板橋區,懷翠里,0.766084046,0.745372119,0.760878087,0.715376605,0.670066831,0.617088608,0.499119408,0.360444285,0.353513514,0.568552981
　板橋區,福翠里,0.766768293,0.74422188,0.741248097,0.707782673,0.62202381,0.564254062,0.487698987,0.353915663,0.354599407,0.589861751
　板橋區,港嘴里,0.743940991,0.737508797,0.74817645,0.673455979,0.624918884,0.577637691,0.507442937,0.381848739,0.384199865,0.555203938
　板橋區,振興里,0.755813953,0.740704016,0.762159533,0.715903942,0.54754249,0.574828375,0.491300366,0.357640502,0.368421053,0.58463035
　板橋區,振義里,0.732519423,0.743109151,0.7568438,0.712455151,0.655046826,0.66168898,0.510914761,0.347757256,0.3616,0.566998893
　板橋區,光復里,0.766027759,0.740365112,0.751503006,0.687382298,0.647619048,0.587905237,0.503740648,0.364958887,0.360153257,0.566688786
　板橋區,埔墘里,0.770413393,0.753638623,0.762004175,0.691622691,0.651046859,0.603885413,0.486699507,0.361723787,0.368457065,0.59042173
　板橋區,富貴里,0.769784173,0.742986425,0.753832281,0.693045564,0.650974026,0.606941082,0.496710526,0.354114713,0.365914787,0.581188997
　板橋區,長壽里,0.734430923,0.723913043,0.756183746,0.670439414,0.62474645,0.595158036,0.507343124,0.372237569,0.41102582,0.554609929
　板橋區,福壽里,0.751861042,0.743234739,0.758125,0.697674419,0.664677804,0.595539482,0.43305187,0.342474101,0.358582773,0.574683544
　板橋區,居仁里,0.746179402,0.740566038,0.745512821,0.708652148,0.646274985,0.587567244,0.495180723,0.300798036,0.385564466,0.563767168
　板橋區,海山里,0.783601014,0.7551138,0.780225989,0.669410515,0.656415695,0.619225634,0.452713595,0.33792917,0.320970821,0.587424634
　板橋區,九如里,0.724941725,0.71644162,0.720093823,0.68161435,0.660029499,0.603617182,0.512820513,0.357469512,0.37432744,0.559618442
